일련번호,시군구,시설명,입소정원,입소현원,종사정원,종사현원,시설주소,전화번호,설치신고일,법인명
18,용인시,하선이네,4,3,2,1,"경기도 용인시 처인구 포곡읍 둔전로 15, 105동 306호(금전마을계룡리슈빌) ",031-332-0674 031-332-0674,2008.05.29,사회복지법인 천주교인보회
19,용인시,용인밀알장애인 공동생활가정,4,4,1,1,"경기도 용인시 기흥구 한보라2로 14번길 13-7, 301호 ",031-282-7177 031-282-7176,2007.05.11,평안밀알복지재단
20,용인시,용인밀알2,4,4,1,1,"경기도 용인시 기흥구 한보라2로 14번길 13-6, 301호 ",031-282-7879 031-282-7879,2013.10.11,평안밀알복지재단
21,고양시,홀트자활의집,4,4,1,1,경기도 고양시 일현로 140 ,031-918-9416 0504-389-8924,1999.07.01,사회복지법인 홀트아동복지회
22,고양시,다움장애인공동 생활가정,4,4,2,2,"경기도 고양시 덕양구 은빛로77번길 39-15, 3층 ",031-962-3009 031-962-3009,2001.08.01,사회복지법인 애덕의집
23,고양시,채움늘,4,3,2,2,"경기도 고양시 덕양구 지도로124번길 79, 온누리빌라트 101호",031-969-4183,2003.02.19,경기도지적발달 장애인복지협회 고양시지부
24,고양시,한사랑의 집,4,3,1,1,경기도 고양시 일산동구 성현로93번길 25-19,031-977-7458,2004.03.23,우림복지재단
25,고양시,바울홈,4,3,1,1,"경기도 고양시 일산서구 일현로 140, 큰마을 A 103-603 ",031-912-6634 031-912-6634,2005.08.03,홀트아동복지회
26,고양시,한울그룹홈,4,4,1,1,경기도 고양시 일산서구 대산로223번길 16-10번지 101호 ,031-919-3598 031-919-3598,2005.08.04,한국장애인부모회
27,고양시,한소망의집,4,4,2,1,경기도 고양시 성현로93번길 25-19,031-977-7970,2006.06.05,우림복지재단
28,고양시,사랑의집,8,8,1,3,경기도 고양시 일산동구 일산로316번길 19-6 ,031-907-9795 031-907-9773,2007.06.04,개인
29,고양시,축복,4,3,1,1,"경기도 고양시 일산동구 견달산로 225번길 21-91, 가동 1층(식사동) ",070-4251-6990 031-905-6990,2010.12.01,사회복지법인 대건카리타스
30,고양시,기쁨,4,2,1,1,"경기도 고양시 견달산로225번길 21-91, 가동 2층 ",031-904-6990 031-904-6994,2010.12.01,사회복지법인 대건카리타스
31,성남시,쉴만한물가,4,4,2,2,경기도 성남시 중원구 광명로42번길 11-4 401호 ,031-757-9199 031-604-9901,2008.07.24,말아톤복지재단
32,성남시,기쁨의집,4,3,2,1,"경기도 성남시 수정구 희망로466번길 23-12, 101호 ",031-733-0082 031-733-0801,2001.10.12,할렐루야복지재단
33,성남시,무지개2호 그룹홈,4,4,2,1,경기도 성남시 중원구 마지로 53 키카빌라 302호 ,031-759-7980 031-759-798,2012.09.10,무지개동산
34,성남시,한결이네집,4,4,1,1,경기도 성남시 중원구 마지로 51 키카빌라 a동 302호 ,031-753-5414 031-753-5415,2009.02.10,사단법인한국장애인 부모회성남시지부
35,성남시,아름드리그룹홈,4,3,2,2,경기도 성남시 중원구 둔촌대로 363 자이@104동203호 ,031-719-8142 031-719-8142,2003.12.31,사회복지법인청남 재단
36,성남시,해피빌,4,4,2,1,경기도 성남시 중원구 순환로124번길 28 ,031-731-3002 031-736-3010,2008.12.08,양친사회복지회
37,성남시,가나안홈,4,3,1,1,"경기도 성남시 중원구 원터로93번길 26-7, 302호(성남동) ",031-752-0546 031-752-0546,2010.08.09,가나안복지재단
38,성남시,옥수,4,4,1,1,경기도 성남시 중원구 마지로158-1 401호 ,031-705-3398 031-722-3398,2008.12.08,밀알복지재단
39,성남시,성남작은예수의집,4,4,3,2,경기도 성남시 중원구 제일로53번길 11-10 ,031-753-3327 031-756-8938,2011.04.28,작은예수수녀회
40,성남시,무지개1호그룹홈,4,4,1,1,경기도 성남시 분당구 야탑로161번길 16-1 301호 ,031-701-4698 031-701-4648,2008.11.17,사회복지법인 무지개동산
41,성남시,소망의집,4,4,2,1,"경기도 성남시 수정구 남문로74번길 3, 201호 ",031-733-3997 031-758-1999,2001.10.12,할렐루야복지재단
42,성남시,푸른초원,4,4,1,1,경기도 성남시 중원구 도촌북로 78 휴먼시아섬마을 507-104 ,031-604-9090 031-604-9091,2012.10.23,말아톤복지재단
43,성남시,파란하늘,4,4,1,1,경기도 성남시 중원구 도촌남로22 103동 102호(휴먼시아1단지) ,031-604-9310 031-604-9308,2014.09.30,말아톤복지재단
44,화성시,남양그룹홈 A,4,4,1,1,경기도 화성시 남양읍 주석로 187-7 ,031-357-7731 0504-173-7963,2005.01.19,천주교 수원교구
45,화성시,남양그룹홈 B,4,4,1,1,경기도 화성시 남양읍 주석로 187-7 ,031-357-7012 050-4012-2298,2005.01.19,천주교 수원교구
46,화성시,남양그룹홈 C,4,4,1,1,경기도 화성시 남양읍 주석로 187-7,031-357-7796,2005.01.19,천주교 수원교구
47,화성시,별빛누리그룹홈 가온,4,3,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
48,화성시,별빛누리그룹홈 나온,4,3,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
49,화성시,별빛누리그룹홈 다온,4,3,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
50,화성시,별빛누리그룹홈 라온,4,1,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
51,화성시,별빛누리그룹홈 마온,4,3,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
52,화성시,별빛누리그룹홈 바온,4,3,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
53,화성시,별빛누리그룹홈 사온,4,3,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
54,화성시,별빛누리그룹홈 아온,4,4,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
55,화성시,그루터기,4,2,2,2,경기도 화성시 남양읍 남양서로 613번길 78 ,031-355-8419 031-355-8418,2005.08.20,개인
56,화성시,자오쉼터 A,4,4,2,2,경기도 화성시 마도면 마도서길 245번길 70 ,031-356-8675 031-356-8674,2005.01.19,개인
57,화성시,자오쉼터 B,4,4,1,1,경기도 화성시 마도면 마도서길 245번길 70 ,031-356-8675 031-356-8674,2005.01.19,개인
58,화성시,자오쉼터 C,4,4,1,1,경기도 화성시 마도면 마도서길 245번길 74 ,031-356-8675 031-356-8674,2022.01.26,개인
59,화성시,자오쉼터 D,4,4,1,1,경기도 화성시 마도면 마도서길 245번길 74 ,031-356-8675 031-356-8674,2022.01.26,개인
60,화성시,사랑의집,10,7,1,1,경기도 화성시 탄요2길 5-1(반송동) ,031-376-5987 031-372-5987,2005.10.14,개인
61,부천시,부천시장애인종합 복지관(기쁨의샘),4,2,2,1,"경기도 부천시 조마루로 135, 포도마을 826동 104호 ",032-322-3306 032-322-3306,1996.04.01,사회복지법인 인천 가톨릭사회복지회
62,부천시,혜림공동생활가정 1호,4,3,2,1,"경기도 부천시 성주로 66, 5동 904호(송내동신아파트) ",032-653-7180 032-614-0111,1999.04.07,사회복지법인 백십자사
63,부천시,혜림공동생활가정 2호,4,4,2,1,"경기도 부천시 소사로78번길 70, 111동 301호(주공아파트) ",032-346-1213 032-614-0111,2000.04.17,사회복지법인 백십자사
64,부천시,혜림공동생활가정 3호,4,4,2,1,"경기도 부천시 소사로78번길 70, 109동 1006호(주공아파트) ",032-345-9826 032-614-0111,2002.07.24,사회복지법인 백십자사
65,부천시,혜림공동생활가정 4호,4,4,2,1,"경기도 부천시 경인로150번길 67, 101동 201호 ",032-654-5830 032-614-0111,2006.08.31,사회복지법인 백십자사
66,부천시,혜림공동생활가정 5호,4,3,2,1,"경기도 부천시 심중로114번가길 31, 301호 ",032-661-0324 032-614-0111,2009.08.01,사회복지법인 백십자사
67,남양주시,신망애공동생활 가정,4,3,1,2,경기도 남양주시 화도읍 비룡로 185-25 103-808 ,031-595-6640 031-595-4040,1999.03.25,신망애복지재단
68,남양주시,천사의집,8,8,2,2,"경기도 남양주시 오남읍 진건오남로 735-17, 101동 102호(롯데아파트) ",031-823-4004 031-574-4005,2008.09.18,개인
69,안산시,초록반디의집,4,3,2,2,경기도 안산시 상록구 성호로 134 (일동) ,031-417-6935 031-417-6935,2009.07.21,개인
70,안산시,누리봄,4,3,2,1,"경기도 안산시 상록구 부곡동 653-5, 101호 ",070-8944-9116 031-416-9991,2013.07.11,사회복지법인강물
50,화성시,별빛누리그룹홈 라온,4,1,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
51,화성시,별빛누리그룹홈 마온,4,3,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
52,화성시,별빛누리그룹홈 바온,4,3,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
53,화성시,별빛누리그룹홈 사온,4,3,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
54,화성시,별빛누리그룹홈 아온,4,4,1,1,경기도 화성시 서신면 밸미길 87-31 ,031-356-1700 031-355-7311,2019.12.23,천주교 수원교구
55,화성시,그루터기,4,2,2,2,경기도 화성시 남양읍 남양서로 613번길 78 ,031-355-8419 031-355-8418,2005.08.20,개인
56,화성시,자오쉼터 A,4,4,2,2,경기도 화성시 마도면 마도서길 245번길 70 ,031-356-8675 031-356-8674,2005.01.19,개인
57,화성시,자오쉼터 B,4,4,1,1,경기도 화성시 마도면 마도서길 245번길 70 ,031-356-8675 031-356-8674,2005.01.19,개인
58,화성시,자오쉼터 C,4,4,1,1,경기도 화성시 마도면 마도서길 245번길 74 ,031-356-8675 031-356-8674,2022.01.26,개인
59,화성시,자오쉼터 D,4,4,1,1,경기도 화성시 마도면 마도서길 245번길 74 ,031-356-8675 031-356-8674,2022.01.26,개인
60,화성시,사랑의집,10,7,1,1,경기도 화성시 탄요2길 5-1(반송동) ,031-376-5987 031-372-5987,2005.10.14,개인
61,부천시,부천시장애인종합 복지관(기쁨의샘),4,2,2,1,"경기도 부천시 조마루로 135, 포도마을 826동 104호 ",032-322-3306 032-322-3306,1996.04.01,사회복지법인 인천 가톨릭사회복지회
62,부천시,혜림공동생활가정 1호,4,3,2,1,"경기도 부천시 성주로 66, 5동 904호(송내동신아파트) ",032-653-7180 032-614-0111,1999.04.07,사회복지법인 백십자사
63,부천시,혜림공동생활가정 2호,4,4,2,1,"경기도 부천시 소사로78번길 70, 111동 301호(주공아파트) ",032-346-1213 032-614-0111,2000.04.17,사회복지법인 백십자사
64,부천시,혜림공동생활가정 3호,4,4,2,1,"경기도 부천시 소사로78번길 70, 109동 1006호(주공아파트) ",032-345-9826 032-614-0111,2002.07.24,사회복지법인 백십자사
65,부천시,혜림공동생활가정 4호,4,4,2,1,"경기도 부천시 경인로150번길 67, 101동 201호 ",032-654-5830 032-614-0111,2006.08.31,사회복지법인 백십자사
66,부천시,혜림공동생활가정 5호,4,3,2,1,"경기도 부천시 심중로114번가길 31, 301호 ",032-661-0324 032-614-0111,2009.08.01,사회복지법인 백십자사
67,남양주시,신망애공동생활 가정,4,3,1,2,경기도 남양주시 화도읍 비룡로 185-25 103-808 ,031-595-6640 031-595-4040,1999.03.25,신망애복지재단
68,남양주시,천사의집,8,8,2,2,"경기도 남양주시 오남읍 진건오남로 735-17, 101동 102호(롯데아파트) ",031-823-4004 031-574-4005,2008.09.18,개인
69,안산시,초록반디의집,4,3,2,2,경기도 안산시 상록구 성호로 134 (일동) ,031-417-6935 031-417-6935,2009.07.21,개인
70,안산시,누리봄,4,3,2,1,"경기도 안산시 상록구 부곡동 653-5, 101호 ",070-8944-9116 031-416-9991,2013.07.11,사회복지법인강물
91,시흥시,우물선교회 장애인공동생활 가정,4,4,1,1,"경기도 시흥시 오이도2길 21, 정왕쉐르빌 3차 102호(정왕동)",031-431-7621,2008.11.25,개인
92,시흥시,샘물,4,4,1,2,"경기도 시흥시 오이도1길 19, 정왕쉐르빌 2차 102호(정왕동) ",031-431-7729 031-319-4974,2013.03.15,개인
93,시흥시,아름다운,4,4,1,1,"경기도 시흥시 오이도1길 19, 정왕쉐르빌 2차 202호(정왕동) ",031-431-7729 031-319-4974,2015.09.04,개인
94,시흥시,아름다운사람들,4,4,1,1,"경기도 시흥시 오이도1길 19, 정왕쉐르빌 2차 101호(정왕동) ",031-431-7729 031-319-4974,2011.05.03,개인
95,시흥시,그린장애인공동 생활가정,4,3,1,1,"경기도 시흥시 신천로25번안길 6-4, 두산주택 A동 102호(신천동) ",031-983-0164 031-983-0164,2018.04.12,개인
96,김포시,밀알사랑터,4,4,2,2,경기도 김포시 북변동 북변1로16번길 34 산호A 107동 401호 ,031-988-6135 031-992-8135,2007.06.11,사회복지법인 세석밀알
97,김포시,행복한 사람들,4,3,2,2,"경기도 김포시 풍년로 19(풍년마을, 진흥)121동 405호 ",031-991-1022 031-991-1023,2017.09.01,사회복지법인 꿈나래터
98,파주시,사랑나눔 장애인공동생활 가정,4,4,3,3,"경기도 파주시 번뛰기길 23-15, 7동 4층 401호(야당동, 예일아트빌)",031-946-8393 031-957-2605,2017.12.15,사단법인 사랑나눔 행복한 동행
99,파주시,새집,4,3,3,3," 경기도 파주시 동산3길 17, 2층 201호 (금촌동, 삼성홈타운)",031-957-2606,2004.09.10,사단법인 한국지적발달장애인 복지협회
100,파주시,우리집,4,4,2,2,"경기도 파주시 문산읍 사임당로 11, 202동 302호(양우내안애아파트) ",031-959-7004 031-959-7004,2002.12.01,사회복지법인 주내자육원
101,파주시,프란치스코의집,4,4,2,2,경기도 파주시 탄현면 열살미길 206-23 ,031-944-0900 031-945-3175,2008.10.27,사회복지법인 대건 카리타스
102,파주시,한우리공동생활 가정,4,4,3,3,경기도 파주시 문산읍 바리골길 459-1 ,031-952-7959 031-952-7959,2019.07.29,그리스도수도회
103,의정부시,장애인공동생활 가정 행복다섯,4,4,2,2,"경기도 의정부시 용현로 111, 101동 104호(송산푸르지오) ",031-852-6957 031-852-6967,2003.11.10,사단법인 한국장애인부모회
104,의정부시,장애인공동생활 가정 행복한집,4,4,2,2,"경기도 의정부시 장곡로 240, 112동 105호(장암동아아파트) ",031-871-2328 031-871-2328,2003.11.10,재)한국기독교청년회
105,광주시,가온의집,4,4,3,2,경기도 광주시 곤지암읍 벌열미길 7-7 쌍용빌라 5차 101호 ,031-763-8588 031-797-8589,2000.12.29,사회복지법인 향림원
106,광주시,광주야곱의집,4,4,3,3,경기도 광주시 곤지암읍 벌열미길 42 열미그린빌라 가동303 ,031-798-1860 031-798-1892,2003.07.08,무형복지재단
107,광주시,요셉의집,4,3,2,1,경기도 광주시 곤지암읍 벌열미길 22 대산빌라(202호) ,031-798-5513 031-761-8155,2006.10.09,무형복지재단
108,광주시,광주그룹홈A,4,3,2,1,경기도 광주시 오포읍 수레안길43번길 13-1 ,031-718-2189 031-708-2189,2008.10.23,천주교수원교구사회 복지회
109,광주시,섬김의집,8,6,3,3,경기도 광주시 곤지암읍 신만로436번길 97 ,031-763-9390 031-797-1917,2005.12.26,개인
110,광주시,조이풀하우스 공동생활가정,4,4,1,1,경기도 광주시 도척면 도척윗로 440-13 ,031-797-3181 031-797-3181,2015.11.09,개인
111,하남시,하남장애인공동 생활가정,4,4,3,3,경기도 하남시 하남대로232번길 32 (상산곡동) ,031-791-2481 031-796-1305,2000.03.06,사회복지법인 무형복지재단
112,군포시,희망자리1호,4,3,3,2,"경기도 군포시 용호2로 36, 406동 204호 ",031-391-8799 031-451-0444,2009.10.28,사회복지법인 씨피재활원
113,이천시,브니엘,4,4,2,2,"경기도 이천시 향교로107번길 12, 307호 ",031-632-7796 031-632-6796,2011.05.19,개인
114,구리시,공동생활가정(여) 한누리터,4,4,2,2,"경기도 구리시 이문안로147번길 35, 103동 203호 ",031-551-5585 031-562-0078,2004.01.03,사회복지법인 휴먼복지회
115,구리시,공동생활가정(남) 아람터,4,4,2,2,"경기도 구리시 원수택로32번길 74, B동 쌍용아파트 603호 ",031-551-5585 031-562-0078,2004.01.03,휴먼복지회
116,구리시,구리은혜의집,4,4,2,2,"경기도 구리시 이문안로136번길 14-9, 201호 ",031-565-1222 031-565-1223,2013.08.26,한국장애인선교단체 총연합회
117,안성시,온정,4,4,1,1,"경기도 안성시 대덕면 안성맞춤대로 1654, 103-504(유안아파트) ",070-8187-9043 070-8187-9043,2009.03.26,한길복지재단
118,안성시,평안밀알장애인 공동생활가정1호,4,4,1,1,경기도 안성시 공도읍 팔머리길 1 ,031-656-6511 031-656-6512,2004.03.16,사회복지법인 평안밀알복지재단
119,안성시,평안밀알장애인 공동생활가정2호,4,4,1,1,경기도 안성시 공도읍 팔머리길 1 ,031-656-6511 031-656-6512,2006.08.21,사회복지법인 평안밀알복지재단
120,안성시,평안밀알공동생활 가정3호,4,4,2,2,경기도 안성시 공도읍 팔머리길 1 ,031-656-6511 031-656-6512,2016.04.06,사회복지법인 평안밀알복지재단
121,안성시,하이디의 집,4,4,2,2,경기도 안성시 죽산면 장원길 94 ,031-676-9618 031-676-9616,2016.04.26,프란치스코사회 복지회
122,안성시,혜성그룹홈,4,4,1,1,"경기도 안성시 남파로 73-9, 112동 1201호 ",031-677-2284 031-677-2285,2020.04.22,사회복지법인 혜성원
123,안성시,지온 장애인 공동생활가정,4,3,1,1,"경기도 안성시 대덕면 내리4길 8, 501호 ",070-4147-6267 031-672-0807,2020.10.29,지온 사회적협동조합
124,안성시,나누리의 집,9,5,2,2,경기도 안성시 대덕면 당촌1길 53,031-675-2933,2006.11.30,개인
125,안성시,태규네집,7,4,1,3,경기도 안성시 양성면 미리내성지로 200-16 ,031-672-0043 031-673-9745,2005.08.04,개인
126,안성시,시메온의 집,4,4,1,1,경기도 안성시 현수 1길 35 ,031-674-1012 031-674-1013,2006.05.01,개인
127,안성시,맑음터 미리내공동체,9,9,2,2,경기도 안성시 양성면 중촌안길 12 ,031-673-5742 031-674-5740,2005.08.03,개인
128,안성시,성진그룹홈,4,4,2,2,"경기도 안성시 비봉로 37, 103동 602호 ",031-672-9517 031-672-7920,2009.10.06,개인
129,안성시,성진그룹홈 2호,4,4,3,3,경기도 안성시 금광면 현곡길 268-1 ,031-672-9517 031-672-7920,2017.02.07,개인
130,안성시,한아름그룹홈,4,4,2,2,경기도 안성시 금광면 현곡길 268 ,031-672-9517 031-672-7920,2022.05.04,사회복지법인 성진원
131,안성시,평화복지선교회 평화원,8,7,2,2,경기도 안성시 보개면 보개원삼로 735 ,031-676-9947 031-676-9948,2010.10.11,개인
132,의왕시,의왕그룹홈B,4,4,1,1,경기도 의왕시 오전로 121 301호,031-429-1962,2008.09.01,사회복지법인 천주교수원교구 사회복지회
133,포천시,늘 푸른 집,4,4,2,2,경기도 포천시 영중면 가영로 436-183 ,031-532-4333 031-533-7623,2007.01.11,개인
134,포천시,두리 한마음,4,4,2,3,경기도 포천시 자작로3길 47-9 ,031-534-4986 031-533-4986,2008.01.15,개인
135,포천시,낮은자의집,4,4,2,2,경기도 포천시 영일로 561-7 ,031-536-0814 031-536-0815,2008.09.30,개인
136,포천시,이삭의집,4,3,2,2,경기도 포천시 소둔지길 39-33 ,031-1234-5678 0504-362-9924,2011.08.25,개인
137,포천시,예성의 집,4,4,1,1,경기도 포천시 왕방로97번길 53-6 ,031-534-7591 031-534-7591,2020.04.07,개인
138,포천시,곰두리두레마을,4,4,2,3,경기도 포천시 군내면 청성로 5 ,031-536-9545 031-536-9548,2006.10.29,임마누엘복지재단
139,양평군,한나의집,8,6,2,2,"경기도 양평군 양평읍 중앙로167번길 62, 201동 502호",031-771-7736,2014.11.05,개인
140,양평군,두물머리 사랑채,8,8,2,2,"경기도 양평군 양서면 신원1길142번길 17-13 경기도 양평군 청운면 용두로164번길 14, 2층(건축물을 정면으로 보아 우측(가구))",031-775-6633 031-775-0191,2013.12.20,개인
141,양평군,로뎀나무의집,4,4,2,1,"경기도 양평군 청운면 용두로164번길 14, 2층(건축물을 정면으로 보아 우측(가구))",031-775-0193,2008.12.12,사회복지법인 로뎀
142,양평군,봄,4,4,2,1,"경기도 양평군 청운면 용두로164번길 14, 202호",031-775-0338,2017.04.14,사회복지법인 로뎀
143,양평군,라파엘집,8,6,2,1,경기도 양평군 단월면 잼박골길 10,031-774-5609,2017.01.03,개인
144,양평군,예향,8,8,2,2,"경기도 양평군 양평읍 중앙로 14, 102동 2층 205호(그린1차아파트) ",031-775-7575 031-775-7788,2018.03.27,개인
145,양평군,평안마을,4,4,2,2,"경기도 양평군 용문면 중원산로576번길 51, 나동",031-771-0859,2021.04.05,개인
146,양평군,평안쉼터,4,3,2,1,"경기도 양평군 용문면 중원산로576번길 51, 가동",031-771-0859,2021.05.31,개인
147,여주시,소낙빛공동체,3,3,1,1,경기도 여주시 산북면 금품2로 106 ,031-881-4170 031-881-4172,2021.01.25,(재)예수동자수도회
148,여주시,아가페공동생활 가정,4,,1,1,경기도 여주시 금사면 이여로 1213-21 ,031-883-8375 031-883-0157,2009.06.09,개인
