일련번호,시군구,시설명,입소정원,입소현원,종사정원,종사현원,시설주소,전화번호,설치신고일,법인명
36.0,이천시,작은 평화의 집,10.0,10.0,3.0,2.0,경기도 이천시 장호원읍 어석로 161-29 ,031-642-5182 031-642-2706,2014.10.20,개인
37.0,이천시,주라쉼터,35.0,32.0,34.0,31.0,경기도 이천시 부발읍 죽당로 227-19 ,031-634-6684 031-632-0868,2001.12.29,사회복지법인 주라
38.0,이천시,향기로운집,30.0,29.0,31.0,27.0,경기도 이천시 모가면 마국산로 139-13 ,031-632-6073 031-632-6045,2005.04.15,사회복지법인 향림원
39.0,안성시,가온,30.0,28.0,30.0,23.0,경기도 안성시 보개면 절가리길 73 ,031-671-1822 031-671-1808,2010.12.02,사회복지법인 금란
40.0,안성시,혜성원,94.0,92.0,69.0,65.0,경기도 안성시 양성면 양성로 581 ,031-672-2284 031-674-8074,1996.03.04,사회복지법인 혜성원
41.0,포천시,노아의집,70.0,53.0,46.0,44.0,경기도 포천시 신북면 청신로 1095 ,031-535-3884 031-536-2129,1997.12.26,김옥이재단
42.0,양평군,창인요양원,96.0,92.0,68.0,63.0,경기도 양평군 단월면 백동길 92,031-771-3808,1991.06.18,사회복지법인 창인원
43.0,양평군,창인홈,40.0,39.0,38.0,34.0,경기도 양평군 단월면 백동길 92,031-775-2050,2010.03.02,사회복지법인 창인원
44.0,양평군,양평평화의집,90.0,87.0,65.0,65.0,경기도 양평군 양동면 양동금곡4길 108-22,031-774-9901,2001.12.15,사회복지법인 평화의집
45.0,양평군,옹달샘,40.0,39.0,38.0,32.0,경기도 양평군 양동면 양동금곡4길 108-20 ,031-775-8551 031-775-8553,2009.06.23,사회복지법인 평화의집
46.0,양평군,씨엘의집,53.0,52.0,46.0,42.0,경기도 양평군 양평읍 대흥로 106-13 ,031-774-5630 031-775-5630,2002.06.05,사회복지법인 씨엘
47.0,양평군,로뎀의집,29.0,29.0,24.0,24.0,경기도 양평군 청운면 증골길24번길 26 ,031-775-0338 031-775-1774,2015.07.31,사회복지법인 로뎀
48.0,양평군,양평아름다운세상,29.0,29.0,24.0,17.0,경기도 양평군 청운면 가현길 105,031-774-9112,2016.06.28,사회복지법인 양평아름다운세상
49.0,가평군,가평꽃동네희망의 집,180.0,166.0,117.0,93.0,경기도 가평군 조종면 꽃동네길 ,031-589-0265 031-589-0267,1995.03.27,(재)예수의꽃동네 유지재단
50.0,가평군,성가정의집,29.0,24.0,19.0,18.0,경기도 조종면 연인산로474번길 139-37 ,031-585-7906 031-585-7909,2008.08.04,(재)작은예수수녀회
51.0,연천군,가람,30.0,29.0,32.0,29.0,경기도 연천군 연천읍 연신로305번길 88-69 ,031-834-2607 031-5171-3432,2009.03.03,사회복지법인 즈믄해
52.0,연천군,동트는 마을,30.0,30.0,32.0,26.0,경기도 연천군 청산면 백궁길 419-179 ,031-832-7108 031-832-3108,2004.03.26,프란치스코 사회복지회
